variant,n,m_max,period_ns,cells,area_um2,util_pct,wns_ns,tns_ns,hold_wns_ns,power_mw
base,8,32,25,138844,1795119,59,5.01,0.00,0.00,154.00
base,8,32,20,138844,1811642,60,0.70,0.00,0.01,197.00
base,8,32,18,138844,1763590,58,-1.22,-21.79,0.00,217.00
base,8,32,15,138844,1633226,54,-3.88,-169.94,0.01,254.00
base,8,32,12,138844,1492654,49,-5.44,-1236.77,-0.00,305.00
base,8,32,10,138844,1462919,48,-6.81,-10357.10,-0.01,362.00
rqpipe,8,32,20,141027,1879910,60,1.74,0.00,0.01,211.00
rqpipe,8,32,18,141027,1827966,59,-0.18,-0.60,0.00,229.00
rqpipe,8,32,15,141027,1690767,54,-2.87,-100.32,0.01,267.00
rqpipe,8,32,12,141027,1542600,49,-3.81,-1626.32,-0.00,319.00
rqpipe,8,32,10,141027,1511052,48,-5.58,-11434.48,0.01,374.00
rqpipe,8,32,8,141027,1383592,44,-7.39,-29713.61,-0.48,460.00
base,4,32,15,53929,631630,55,-1.33,-30.38,-0.00,93.10
rqpipe,4,32,12,55730,601691,50,-2.31,-111.54,-0.01,120.00
